time,precipitation_mm
2020-12-28,3.268854
2020-12-29,3.7260163
2020-12-30,1.7399348
2020-12-31,0.54267675
2021-01-01,2.7614167
2021-01-02,2.7733343
2021-01-03,4.0157504
2021-01-04,3.084575
2021-01-05,3.3695886
2021-01-06,2.1181185
2021-01-07,0.4782841
2021-01-08,2.2018876
2021-01-09,0.22163065
2021-01-10,0.49214596
2021-01-11,1.9570738
2021-01-12,4.2318525
2021-01-13,4.750895
2021-01-14,14.2685375
2021-01-15,0.15349056
2021-01-16,7.706041
2021-01-17,0.19692114
2021-01-18,1.5825335
2021-01-19,10.2993965
2021-01-20,7.669671
2021-01-21,6.172826
2021-01-22,1.1648899
2021-01-23,1.4115036
2021-01-24,2.8108206
2021-01-25,0.7550596
2021-01-26,3.5414467
2021-01-27,2.1454456
2021-01-28,14.319864
2021-01-29,6.534674
2021-01-30,6.1787777
2021-01-31,1.4471612
2021-02-01,0.34458342
2021-02-02,11.038814
